"Qty","Value","Part Num","Package","Parts"
"1","0R","R0603_510R_5%_125MW","R0603","R5"
"1","1k","R0603_1K_5%_125MW","R0603","R11"
"0","1k5","R0603_1K5_5%_125MW","R0603","R8(DNP)"
"2","2u2","C0603_2U2_X7R_10%_CER_50V","C0603","C11, C14"
"3","4u7","C0603_4U7_X7R_10%_CER_50V","C0603","C6, C8, C16"
"2","6p8","C0603_6P8_NP0_5%_CER_50V","C0603","C2, C3"
"2","10k","R0603_10K_5%_125MW","R0603","R6, R13"
"1","10u","C0603_10U_X7R_10%_CER_50V","C0603","C1"
"2","20p","C0603_20P_NP0_5%_CER_50V","C0603","C4, C5"
"2","22R","R0603_22R_5%_125MW","R0603","R9, R10"
"4","100k","R0603_100K_5%_125MW","R0603","R1, R4, R7, R12"
"7","100n","C0603_100N_X7R_10%_CER_50V","C0603","C7, C9, C10, C12, C13, C15, C17"
"2","510R","R0603_510R_5%_125MW","R0603","R2, R3"
"1","47642-001","47642-0001","47662-001","J5"
"0","AP2112K3.3-TRG1","AP2112?K3.3-TRG1","SOT23-5","U2(DNP)"
"1","AP2114HA-3.3TRG1","AP2114HA3.3-TRG1","SOT223","U1"
"1","DMP2160UW-7","DMP2160UW-7","SOT323","Q1"
"1","FBMH1608HM471-T","FBMH1608HM471-T","FB0603","L1"
"1","FC-135","FC-135 32.7680KA-A5","CRYSTAL_32X15","Y1"
"1","GREEN","LED0603-GREEN","LED0603","D1"
"2","MH20-1","MH20-1-0.1","MH20-1-0.1","J1, J2"
"1","MH_RA4-1","MH_RA4-1-0.1","MH_RA4-1-0.1","J3"
"1","MR07C-06200","MR07C-06200","MR07C-06200","J4"
"1","NX3225GD","NX3225GD-8MHZ-STD-CRA-3","CRYSTAL_32X25_2P","Y2"
"1","RED","LED0603-RED","LED0603","D2"
"2","SKSGACE010","SKSGACE010","SKSGACE010","S1, S2"
"1","STM32F405RGT6","STM32F405RGT6","LQFP64","U3"
"1","SY6280","SY6280AAC","SOT23-5","U4"
